"Subj","Controller","ItemNo","Scenario","Text","Answer","NullOrCorrect","AnswerTimes"
"1581680476","Form","1","intro","name","Andrea","",""
"1581680476","Form","1","intro","snumber","488256","",""
"1581680476","AcceptabilityJudgment","84","filler15-bad","<center><table><table cellspacing=100><tr><td><img style=display:block;max-width:300px;max-height:300px;width: auto;height: auto; src=https://github.com/MojmirDocekal/jan_2019_brn_vie/blob/master/15_distributive.JPG?raw=true></td><td><img style=display:block;max-width:300px;max-height:300px;width: auto;height: auto; src=https://github.com/MojmirDocekal/jan_2019_brn_vie/blob/master/15_non-distributive.jpg?raw=true></td></table></center>Kontext: Děti dostaly nové míčky různých barev. Odpoledne si s nimi házely o zeď. Tatínek se obával%2C že děti rozbijí míčkem okno%2C což se také stalo.</p><center><p>Věta: <i>Pouze červený míček rozbil okno.</i></p></p>Větě v daném kontextu odpovídá obrázek:</center>","","",""
"1581680476","AcceptabilityJudgment","84","filler15-bad","NULL","ani jeden","NULL","31694"
"1581680476","AcceptabilityJudgment","59","first-item14-nd-svo","<center><table><table cellspacing=100><tr><td><img style=display:block;max-width:400px;max-height:400px;width: auto;height: auto; src=https://github.com/MojmirDocekal/jan_2019_brn_vie/blob/master/14_nd.jpg?raw=true></td><td><img style=display:block;max-width:440px;max-height:440px;width: auto;height: auto; src=https://github.com/MojmirDocekal/jan_2019_brn_vie/blob/master/14_nd_f.jpg?raw=true></td></table></center>Kontext: V jedné pohádce šel chalupník a statkář na trh koupit krávy. Cestou potkali mluvícího koně a mluvící prase%2C kteří jim řekli%2C že když je nakopnou%2C dají každému z nich zlatou minci.</p><center><p>Věta: <i>Dva vesničané nakopli koně i prase.</i></p></p>Větě v daném kontextu odpovídá obrázek:</center>","","",""
"1581680476","AcceptabilityJudgment","59","first-item14-nd-svo","NULL","levý","NULL","30733"
"1581680476","AcceptabilityJudgment","79","filler10-good-left","<center><table><table cellspacing=100><tr><td><img style=display:block;max-width:330px;max-height:330px;width: auto;height: auto; src=https://github.com/MojmirDocekal/jan_2019_brn_vie/blob/master/10_non-distributive.jpeg?raw=true></td><td><img style=display:block;max-width:290px;max-height:290px;width: auto;height: auto; src=https://github.com/MojmirDocekal/jan_2019_brn_vie/blob/master/10_nd_wrong.jpeg?raw=true></td></table></center>Kontext: Na dětském dnu měly děti za úkol vyrobit vlajku a s pomocí rodičů ji pověsit. Za odměnu pak získaly sladkosti.</p><center><p>Věta: <i>Každé dítě vyrobilo jednu vlajku.</i></p></p>Větě v daném kontextu odpovídá obrázek:</center>","","",""
"1581680476","AcceptabilityJudgment","79","filler10-good-left","NULL","levý","NULL","17109"
"1581680476","AcceptabilityJudgment","64","first-item15-d-move-a","<center><table><table cellspacing=100><tr><td><img style=display:block;max-width:290px;max-height:290px;width: auto;height: auto; src=https://github.com/MojmirDocekal/jan_2019_brn_vie/blob/master/15_distributive.JPG?raw=true></td><td><img style=display:block;max-width:270px;max-height:270px;width: auto;height: auto; src=https://github.com/MojmirDocekal/jan_2019_brn_vie/blob/master/15_d_wrong.JPG?raw=true></td></table></center>Kontext: Skupina kluků a dívek si odpoledne hrála před školní jídelnou s míči. Kluci si kopali s modrým míčem a dívky si házely s červeným míčem. Druhý den ředitel školy zjistil%2C že děti rozbily míčem okna. Zavolal si je do ředitelny%2C aby odhalil viníka.</p><center><p>Věta: <i>Ve školní jídelně byly čtvercové okno i kulaté okno rozbity dvěma dětmi.</i></p></p>Větě v daném kontextu odpovídá obrázek:</center>","","",""
"1581680476","AcceptabilityJudgment","64","first-item15-d-move-a","NULL","levý","NULL","52891"
